Product_ID,Category,Product_Name,Brand,Price,Cost,Units_Sold,SKU,Shelf_Space,Customer_Ratings,Frequency_of_Purchase,Sales,Gross_Margin,Total_Customers,Total_Transactions
P00045,Dairy,Product 45,Brand C,45.36,5.27,4142,78,0.72,3.9,19,187881.12,166052.78,3717,4105
P00046,Produce,Product 46,Brand A,1.89,19.01,1432,83,2.63,3.6,80,2706.48,-24515.84,1133,1264
P00047,Frozen,Product 47,Brand A,4.4,21.52,2308,97,0.74,3.5,31,10155.2,-39512.96,1911,2308
P00048,Bakery,Product 48,Brand B,26.63,14.57,4379,48,3.85,2.8,32,116612.77,52810.74,2107,2128
P00049,Dairy,Product 49,Brand C,33.28,39.3,4304,71,4.12,4.9,85,143237.12,-25910.08,4296,4304
P00050,Frozen,Product 50,Brand A,20.02,6.44,2293,57,2.59,2.6,22,45905.86,31138.94,569,945
P00051,Bakery,Product 51,Brand C,32.48,2.91,2639,15,1.21,3.1,49,85714.72,78035.23,1424,1625
P00052,Frozen,Product 52,Brand D,39.04,30.89,3743,83,1.02,2.7,22,146126.72,30505.45,3377,3743
P00053,Beverages,Product 53,Brand E,17.1,28.31,2109,51,4.91,2.8,60,36063.9,-23641.89,1724,2109
P00054,Produce,Product 54,Brand C,39.79,25.3,1349,67,4.53,4.5,73,53676.71,19547.01,1335,1349
P00055,Produce,Product 55,Brand D,29.2,11.56,3572,52,1.02,4.4,92,104302.4,63010.08,218,550
P00056,Produce,Product 56,Brand C,37.78,10.08,2019,19,1.02,3.3,94,76277.82,55926.3,1983,2019
P00057,Dairy,Product 57,Brand D,27.91,11.76,4551,98,3.02,4.1,99,127018.41,73498.65,2104,2510
P00058,Beverages,Product 58,Brand C,8.67,18.64,2823,87,2.29,3.1,22,24475.41,-28145.31,887,1260
P00059,Bakery,Product 59,Brand E,31.29,30.89,2835,48,1.97,3.3,38,88707.15,1134.0,2575,2739
P00060,Bakery,Product 60,Brand D,35.1,23.08,2912,22,3.62,2.6,80,102211.2,35002.24,2867,2912
P00061,Beverages,Product 61,Brand C,49.66,35.68,2651,84,4.12,2.9,56,131648.66,37060.98,1527,1671
P00062,Bakery,Product 62,Brand C,31.82,4.99,3693,48,4.09,3.9,35,117511.26,99083.19,342,353
P00063,Bakery,Product 63,Brand D,16.17,2.29,4461,20,1.57,3.1,79,72134.37,61918.68,4138,4461
P00064,Dairy,Product 64,Brand A,31.18,24.73,5176,25,1.67,3.1,32,161387.68,33385.2,4822,5176
P00065,Frozen,Product 65,Brand A,16.17,19.96,4422,42,4.09,3.6,84,71503.74,-16759.38,4013,4422
P00066,Dairy,Product 66,Brand D,2.3,27.03,4347,69,0.52,4.0,65,9998.1,-107501.31,115,461
P00067,Beverages,Product 67,Brand E,32.81,4.52,5162,68,3.15,4.3,94,169365.22,146032.98,4711,5162
P00068,Frozen,Product 68,Brand D,4.99,21.05,3094,83,4.34,3.3,28,15439.06,-49689.64,2882,3094
P00069,Bakery,Product 69,Brand D,16.63,39.99,2338,60,1.33,3.1,59,38880.94,-54615.68,1923,2338
P00070,Beverages,Product 70,Brand A,25.65,39.5,1441,24,3.65,4.0,44,36961.65,-19957.85,110,223
P00071,Snacks,Product 71,Brand B,27.91,18.17,2437,89,4.47,4.1,58,68016.67,23736.38,378,827
P00072,Produce,Product 72,Brand C,48.17,32.99,3388,52,1.37,3.7,55,163199.96,51429.84,3042,3388
P00073,Dairy,Product 73,Brand D,14.59,39.87,4873,36,4.05,4.4,79,71097.07,-123189.44,4528,4873
P00074,Bakery,Product 74,Brand E,14.82,30.06,2902,65,3.85,4.0,62,43007.64,-44226.48,2891,2902
P00075,Beverages,Product 75,Brand D,36.02,32.77,3847,69,3.15,3.5,40,138568.94,12502.75,2185,2521
P00076,Bakery,Product 76,Brand A,25.76,32.99,1546,79,3.9,3.3,93,39824.96,-11177.58,1206,1546
P00077,Produce,Product 77,Brand A,33.95,13.44,493,56,1.47,3.1,31,16737.35,10111.43,131,493
P00078,Produce,Product 78,Brand A,19.23,34.16,3597,17,3.51,3.2,76,69170.31,-53703.21,3225,3597
P00079,Bakery,Product 79,Brand D,42.4,25.81,1002,72,1.53,3.5,17,42484.8,16623.18,836,1002
P00080,Dairy,Product 80,Brand B,28.16,22.3,2206,98,0.54,4.0,28,62120.96,12927.16,1948,2206
P00081,Snacks,Product 81,Brand B,35.1,15.37,3392,16,4.8,3.1,40,119059.2,66924.16,3132,3186
P00082,Frozen,Product 82,Brand A,44.5,2.05,3801,90,3.79,3.1,41,169144.5,161352.45,3708,3801
P00083,Beverages,Product 83,Brand E,33.95,21.05,4503,11,0.54,2.7,88,152876.85,58088.7,4240,4503
P00084,Dairy,Product 84,Brand C,4.62,25.52,3210,26,2.51,3.8,64,14830.2,-67089.0,2777,3210
P00085,Bakery,Product 85,Brand A,31.75,1.95,1296,13,2.55,4.4,40,41148.0,38620.8,393,689
P00086,Snacks,Product 86,Brand C,6.82,3.5,3341,35,0.52,4.1,76,22785.62,11092.12,3296,3341
P00087,Beverages,Product 87,Brand D,15.0,34.06,4411,87,1.91,3.9,60,66165.0,-84073.66,1671,2109
P00088,Beverages,Product 88,Brand C,34.47,25.07,4218,81,4.46,2.6,83,145394.46,39649.2,3148,3365
P00089,Frozen,Product 89,Brand A,18.19,16.22,4002,78,4.53,4.3,36,72796.38,7883.94,3039,3228
P00090,Beverages,Product 90,Brand D,37.92,5.89,4750,14,0.52,4.3,57,180120.0,152142.5,4362,4750
P00091,Produce,Product 91,Brand C,48.5,6.31,930,14,0.74,4.6,52,45105.0,39236.7,368,475
P00092,Produce,Product 92,Brand E,6.45,13.49,1537,78,0.67,4.0,60,9913.65,-10820.48,1247,1537
P00093,Produce,Product 93,Brand A,29.63,13.22,3915,12,2.29,2.6,78,116001.45,64245.15,3442,3915
P00094,Bakery,Product 94,Brand A,39.69,7.17,4502,47,4.96,4.0,84,178684.38,146405.04,979,987
P00095,Beverages,Product 95,Brand C,39.04,14.15,4163,10,4.33,2.9,80,162523.52,103617.07,158,190
P00096,Bakery,Product 96,Brand B,9.69,7.31,3920,17,1.67,2.5,81,37984.8,9329.6,2597,2999
P00097,Bakery,Product 97,Brand A,16.65,32.77,4159,22,0.82,4.7,90,69247.35,-67043.08,3991,4159
P00098,Frozen,Product 98,Brand C,6.74,4.73,1842,93,3.85,3.2,59,12415.08,3702.42,316,647
P00099,Produce,Product 99,Brand D,25.23,35.92,4879,79,0.74,4.0,70,123097.17,-52156.51,4439,4879
P00100,Dairy,Product 100,Brand C,38.31,7.89,4749,59,4.05,2.8,50,181934.19,144464.58,4712,4749
P00101,Dairy,Product 101,Brand E,4.81,5.89,2642,17,4.48,5.0,60,12708.02,-2853.36,2411,2642
P00102,Beverages,Product 102,Brand E,39.96,36.87,2729,39,0.7,3.6,87,109050.84,8432.61,833,1016
P00103,Snacks,Product 103,Brand C,6.79,13.49,2894,49,2.45,4.5,33,19650.26,-19389.8,2602,2894
P00104,Beverages,Product 104,Brand D,45.16,20.55,4985,88,1.04,4.0,39,225122.6,122680.85,4739,4985
P00105,Beverages,Product 105,Brand A,25.09,3.5,3067,83,4.48,2.9,61,76951.03,66216.53,2521,2531
P00106,Beverages,Product 106,Brand A,29.59,11.3,3547,42,1.67,3.6,59,104955.73,64874.63,3477,3547
P00107,Bakery,Product 107,Brand C,33.95,37.82,3296,82,4.96,3.0,66,111899.2,-12755.52,473,710
P00108,Beverages,Product 108,Brand E,16.68,15.55,1588,61,3.9,2.7,71,26487.84,1794.44,211,675
P00109,Dairy,Product 109,Brand B,22.51,25.0,2758,42,3.33,3.8,88,62082.58,-6867.42,2640,2758
P00110,Beverages,Product 110,Brand D,6.79,32.52,1769,82,3.72,3.7,62,12011.51,-45516.37,393,610
P00111,Bakery,Product 111,Brand A,31.96,27.03,2760,87,4.96,4.2,77,88209.6,13606.8,2569,2760
P00112,Dairy,Product 112,Brand A,39.08,19.51,2716,46,3.07,2.9,86,106141.28,53152.12,2298,2716
P00113,Frozen,Product 113,Brand C,29.7,5.89,3719,79,1.78,4.6,78,110454.3,88549.39,3368,3719
P00114,Beverages,Product 114,Brand D,25.65,32.08,1597,78,4.95,3.0,40,40963.05,-10268.71,267,506
P00115,Dairy,Product 115,Brand D,3.23,8.1,3828,13,4.76,2.8,85,12364.44,-18642.36,3253,3581
P00116,Bakery,Product 116,Brand A,49.53,33.61,3773,69,3.11,2.7,39,186876.69,60066.16,169,570
P00117,Beverages,Product 117,Brand B,2.24,21.22,1904,89,3.4,4.1,19,4264.96,-36137.92,1525,1904
P00118,Bakery,Product 118,Brand D,4.46,24.43,2989,83,2.01,4.4,99,13330.94,-59690.33,2672,2989
P00119,Beverages,Product 119,Brand C,31.84,13.44,2022,40,2.9,3.0,53,64380.48,37204.8,1754,1960
P00120,Frozen,Product 120,Brand E,42.92,7.87,4578,23,0.72,4.8,15,196487.76,160458.9,2359,2581
P00121,Produce,Product 121,Brand A,15.0,2.73,4654,86,0.99,3.7,36,69810.0,57104.58,201,347
P00122,Beverages,Product 122,Brand D,27.74,18.17,4653,69,1.04,4.9,29,129074.22,44529.21,1831,2020
P00123,Beverages,Product 123,Brand A,49.31,30.03,1699,77,2.45,3.7,29,83777.69,32756.72,1461,1699
P00124,Dairy,Product 124,Brand C,35.14,34.69,4565,35,2.29,3.6,21,160414.1,2054.25,432,724
P00125,Dairy,Product 125,Brand D,27.91,2.11,4219,33,0.52,4.2,94,117752.29,108850.2,2352,2821
P00126,Dairy,Product 126,Brand A,34.47,18.17,4861,65,1.98,5.0,58,167558.67,79234.3,4424,4861
P00127,Produce,Product 127,Brand D,28.14,25.07,4291,18,3.97,4.5,61,120748.74,13173.37,3360,3583
P00128,Beverages,Product 128,Brand C,37.78,38.79,2143,44,4.53,2.9,19,80962.54,-2164.43,1222,1468
P00129,Snacks,Product 129,Brand B,3.25,23.97,2304,88,2.82,2.6,14,7488.0,-47738.88,2057,2304
P00130,Beverages,Product 130,Brand C,31.18,7.31,3226,33,3.89,4.9,73,100586.68,77004.62,2059,2476
P00131,Produce,Product 131,Brand A,40.37,21.54,1182,40,2.26,4.4,67,47717.34,22257.06,559,966
P00132,Dairy,Product 132,Brand D,1.6,36.21,4266,92,0.84,3.0,17,6825.6,-147646.26,1317,1765
P00133,Dairy,Product 133,Brand E,18.31,10.47,3620,75,3.76,3.1,39,66282.2,28380.8,1030,1068
P00134,Frozen,Product 134,Brand E,19.37,24.92,1116,75,0.51,3.3,26,21616.92,-6193.8,410,863
P00135,Dairy,Product 135,Brand E,1.89,30.06,3196,50,4.39,3.7,76,6040.44,-90031.32,2989,3196
P00136,Bakery,Product 136,Brand C,33.28,7.25,2272,45,2.23,4.4,30,75612.16,59140.16,1858,2272
P00137,Snacks,Product 137,Brand A,41.96,34.71,4841,43,0.9,4.4,25,203128.36,35097.25,4441,4841
P00138,Bakery,Product 138,Brand C,9.69,2.73,3584,48,0.52,3.7,36,34728.96,24944.64,571,1009
P00139,Produce,Product 139,Brand B,27.93,21.72,4704,92,1.02,4.8,15,131382.72,29211.84,4517,4704
P00140,Frozen,Product 140,Brand C,20.02,11.9,4696,32,0.7,4.6,51,94013.92,38131.52,4336,4696
P00141,Beverages,Product 141,Brand B,40.37,7.35,4117,89,0.71,4.0,25,166203.29,135943.34,3280,3757
P00142,Beverages,Product 142,Brand E,10.22,30.33,3510,53,4.57,4.8,54,35872.2,-70586.1,2460,2552
P00143,Snacks,Product 143,Brand B,26.63,7.79,3818,79,3.97,2.9,12,101673.34,71931.12,1244,1250
P00144,Produce,Product 144,Brand C,31.96,10.69,1984,67,3.15,3.7,49,63408.64,42199.68,198,331
P00145,Bakery,Product 145,Brand E,8.01,3.93,4235,68,3.65,4.5,29,33922.35,17278.8,3749,4235
P00146,Dairy,Product 146,Brand C,24.23,25.0,2922,35,1.66,4.0,16,70800.06,-2249.94,593,1066
P00147,Dairy,Product 147,Brand D,2.3,32.99,2349,31,4.81,4.9,68,5402.7,-72090.81,2257,2349
P00148,Produce,Product 148,Brand A,31.67,15.37,4884,97,4.69,4.5,20,154676.28,79609.2,4679,4680
P00149,Beverages,Product 149,Brand A,17.1,16.89,2857,49,0.99,2.5,61,48854.7,599.97,2277,2547
P00150,Frozen,Product 150,Brand C,37.56,20.8,4304,94,2.82,3.2,12,161658.24,72135.04,1523,1606
P00151,Dairy,Product 151,Brand C,22.63,7.25,4012,20,3.97,4.9,30,90791.56,61704.56,605,892
P00152,Bakery,Product 152,Brand D,31.75,21.05,4886,18,4.76,4.0,62,155130.5,52280.2,4405,4584
P00153,Produce,Product 153,Brand E,37.56,16.22,2003,21,3.0,2.6,39,75232.68,42744.02,460,837
P00154,Bakery,Product 154,Brand C,14.59,5.89,2440,35,1.64,3.4,20,35599.6,21228.0,253,588
P00155,Dairy,Product 155,Brand C,43.56,6.92,3575,47,0.98,4.1,90,155727.0,130988.0,632,779
P00156,Bakery,Product 156,Brand A,37.79,8.77,4844,12,3.62,3.7,34,183054.76,140572.88,2111,2213
P00157,Frozen,Product 157,Brand A,5.47,15.4,3264,24,2.55,3.8,59,17854.08,-32411.52,2457,2745
P00158,Snacks,Product 158,Brand E,5.47,7.49,3196,56,0.76,2.5,98,17482.12,-6455.92,2883,3196
P00159,Dairy,Product 159,Brand E,41.5,9.99,2633,14,0.78,3.5,18,109269.5,82965.83,2069,2100
P00160,Frozen,Product 160,Brand E,44.88,16.89,2761,63,0.82,3.8,54,123913.68,77280.39,2447,2761
P00161,Bakery,Product 161,Brand C,11.96,4.73,5021,33,0.84,4.6,38,60051.16,36301.83,4536,5021
P00162,Dairy,Product 162,Brand B,6.76,15.4,888,20,3.97,3.6,71,6002.88,-7672.32,734,888
P00163,Bakery,Product 163,Brand B,47.57,32.64,2914,42,3.4,3.5,24,138618.98,43506.02,2701,2749
P00164,Produce,Product 164,Brand E,3.25,32.34,4227,96,3.48,2.9,28,13737.75,-122963.43,1292,1671
P00165,Snacks,Product 165,Brand C,10.59,6.54,4656,83,3.15,3.6,24,49307.04,18856.8,4615,4656
P00166,Frozen,Product 166,Brand D,35.09,8.85,3986,66,2.84,2.9,48,139868.74,104592.64,836,989
P00167,Bakery,Product 167,Brand D,48.17,31.67,2967,61,1.67,3.5,44,142920.39,48955.5,2536,2967
P00168,Dairy,Product 168,Brand A,44.62,37.34,2268,73,3.15,4.1,22,101198.16,16511.04,1308,1490
P00169,Bakery,Product 169,Brand B,39.08,31.67,2390,52,4.37,4.7,25,93401.2,17709.9,2158,2390
P00170,Dairy,Product 170,Brand A,5.79,17.55,1026,90,4.81,3.6,76,5940.54,-12065.76,707,828
P00171,Produce,Product 171,Brand A,16.68,35.86,3350,53,4.91,4.9,64,55878.0,-64253.0,3165,3350
P00172,Beverages,Product 172,Brand C,42.97,39.21,4305,99,3.76,3.7,74,184985.85,16186.8,3849,4305
P00173,Bakery,Product 173,Brand C,36.02,13.8,4743,98,1.97,4.1,44,170842.86,105389.46,4426,4743
P00174,Snacks,Product 174,Brand D,45.16,11.5,3333,45,3.65,4.7,25,150518.28,112188.78,2137,2525
P00175,Dairy,Product 175,Brand A,1.6,23.95,2700,21,4.96,4.9,10,4320.0,-60345.0,2285,2700
P00176,Beverages,Product 176,Brand E,14.27,35.68,1511,65,1.06,4.0,59,21561.97,-32350.51,1096,1216
P00177,Snacks,Product 177,Brand E,35.35,20.55,4467,12,2.2,2.5,23,157908.45,66111.6,2678,3030
P00178,Bakery,Product 178,Brand B,20.53,18.17,4118,59,2.82,2.8,71,84542.54,9718.48,1279,1505
P00179,Produce,Product 179,Brand B,49.53,27.03,4914,38,4.44,4.6,16,243390.42,110565.0,4802,4914
P00180,Bakery,Product 180,Brand B,48.5,7.79,2215,97,3.02,3.8,32,107427.5,90172.65,2020,2215
P00181,Bakery,Product 181,Brand D,41.27,35.13,3628,92,1.6,3.4,72,149727.56,22275.92,3331,3628
P00182,Frozen,Product 182,Brand A,48.17,2.55,1940,86,3.41,3.2,38,93449.8,88502.8,1432,1458
P00183,Frozen,Product 183,Brand B,26.63,35.01,3617,25,3.19,4.5,31,96320.71,-30310.46,2844,3296
P00184,Dairy,Product 184,Brand A,6.76,10.08,2554,49,2.63,4.2,89,17265.04,-8479.28,2360,2554
P00185,Beverages,Product 185,Brand B,22.26,14.84,3617,36,4.96,2.6,15,80514.42,26838.14,3598,3617
P00186,Snacks,Product 186,Brand D,48.82,35.01,3856,79,3.19,4.6,91,188249.92,53251.36,3513,3856
P00187,Dairy,Product 187,Brand A,9.49,1.54,2316,51,1.04,4.9,38,21978.84,18412.2,305,330
P00188,Produce,Product 188,Brand C,8.98,6.44,2574,66,1.02,4.0,98,23114.52,6537.96,1909,1956
P00189,Produce,Product 189,Brand B,3.25,4.99,1856,19,3.41,4.7,11,6032.0,-3229.44,999,1198
P00190,Snacks,Product 190,Brand B,25.65,13.44,4101,47,4.44,4.9,73,105190.65,50073.21,847,1111
P00191,Dairy,Product 191,Brand E,34.47,38.01,2732,17,2.9,4.1,45,94172.04,-9671.28,2729,2732
P00192,Produce,Product 192,Brand B,27.27,32.99,3013,27,1.25,4.3,29,82164.51,-17234.36,2542,3013
P00193,Beverages,Product 193,Brand E,39.08,37.82,4771,26,4.46,2.9,64,186450.68,6011.46,4532,4771
P00194,Dairy,Product 194,Brand B,21.22,4.73,2150,67,3.19,4.0,46,45623.0,35453.5,1861,2150
P00195,Bakery,Product 195,Brand B,47.55,11.71,5344,75,3.65,3.5,61,254107.2,191528.96,4976,5344
P00196,Bakery,Product 196,Brand B,35.48,20.8,4886,53,4.09,3.7,78,173355.28,71726.48,4474,4886
P00197,Dairy,Product 197,Brand D,16.65,39.5,2418,93,4.44,4.2,79,40259.7,-55251.3,2396,2418
P00198,Beverages,Product 198,Brand C,6.45,23.68,2436,83,4.22,4.0,31,15712.2,-41972.28,1831,2186
P00199,Frozen,Product 199,Brand B,9.49,18.3,4452,18,5.0,2.9,94,42249.48,-39222.12,4098,4452
P00200,Bakery,Product 200,Brand B,4.46,5.27,3980,57,1.64,3.0,92,17750.8,-3223.8,3059,3089
P00201,Bakery,Product 201,Brand D,31.96,30.89,1085,48,2.6,4.7,24,34676.6,1160.95,1038,1085
P00202,Bakery,Product 202,Brand A,24.2,22.49,5139,98,3.97,4.3,56,124363.8,8787.69,4719,5139
P00203,Frozen,Product 203,Brand B,5.94,6.54,4970,98,1.31,3.7,80,29521.8,-2982.0,4655,4970
P00204,Dairy,Product 204,Brand D,31.39,11.3,2534,97,3.02,3.2,90,79542.26,50908.06,2264,2534
P00205,Bakery,Product 205,Brand D,40.91,34.56,3302,15,1.02,3.1,78,135084.82,20967.7,2973,3302
P00206,Beverages,Product 206,Brand D,45.36,13.49,2020,39,3.33,4.4,61,91627.2,64377.4,1550,2020
P00207,Bakery,Product 207,Brand E,47.13,1.07,1779,83,4.96,3.1,48,83844.27,81940.74,1303,1779
P00208,Frozen,Product 208,Brand A,36.58,23.97,2707,27,0.67,4.9,11,99022.06,34135.27,1972,2333
P00209,Bakery,Product 209,Brand D,4.57,28.31,4861,52,0.66,4.1,54,22214.77,-115400.14,4591,4861
P00210,Produce,Product 210,Brand A,3.82,19.94,3587,42,4.48,4.0,33,13702.34,-57822.44,3124,3587
P00211,Dairy,Product 211,Brand C,2.14,19.64,3255,62,2.51,4.3,70,6965.7,-56962.5,2155,2595
P00212,Snacks,Product 212,Brand C,44.67,25.0,2776,65,2.17,3.7,74,124003.92,54603.92,2291,2776
P00213,Dairy,Product 213,Brand D,9.49,2.11,3901,28,3.0,3.8,62,37020.49,28789.38,1778,1930
P00214,Dairy,Product 214,Brand A,21.22,23.8,4708,96,3.54,2.7,30,99903.76,-12146.64,4482,4708
P00215,Snacks,Product 215,Brand C,48.2,2.29,2885,78,4.39,2.8,76,139057.0,132450.35,2637,2885
P00216,Bakery,Product 216,Brand B,18.44,34.71,4657,35,2.56,4.9,10,85875.08,-75769.39,1765,2070
P00217,Dairy,Product 217,Brand D,31.82,13.44,4999,38,0.7,2.9,68,159068.18,91881.62,4828,4999
P00218,Snacks,Product 218,Brand C,19.92,6.54,5161,33,2.63,3.7,56,102807.12,69054.18,4924,5161
P00219,Dairy,Product 219,Brand B,23.72,34.66,4709,15,4.44,4.9,27,111697.48,-51516.46,4226,4462
P00220,Bakery,Product 220,Brand C,19.34,8.65,4448,63,2.83,3.9,42,86024.32,47549.12,3111,3370
P00221,Snacks,Product 221,Brand E,22.26,14.26,4094,48,4.09,4.7,24,91132.44,32752.0,343,622
P00222,Dairy,Product 222,Brand A,38.13,25.81,1379,13,2.71,4.9,33,52581.27,16989.28,239,387
P00223,Beverages,Product 223,Brand B,37.16,27.03,2657,67,2.45,2.5,45,98734.12,26915.41,2548,2657
P00224,Dairy,Product 224,Brand B,31.82,13.49,2073,57,4.69,3.0,69,65962.86,37998.09,824,967
P00225,Snacks,Product 225,Brand D,8.98,14.26,4557,69,1.35,2.6,43,40921.86,-24060.96,1664,1963
P00226,Beverages,Product 226,Brand C,31.96,23.68,4823,35,1.84,4.5,99,154143.08,39934.44,4359,4823
P00227,Frozen,Product 227,Brand B,1.53,5.27,4653,88,1.21,2.8,60,7119.09,-17402.22,203,274
P00228,Produce,Product 228,Brand C,3.22,14.15,4564,86,3.48,2.9,49,14696.08,-49884.52,4147,4564
P00229,Bakery,Product 229,Brand D,19.23,24.92,2643,49,2.14,3.5,31,50824.89,-15038.67,162,473
P00230,Snacks,Product 230,Brand A,21.79,38.81,3391,95,2.48,4.1,25,73889.89,-57714.82,2162,2288
P00231,Dairy,Product 231,Brand E,5.16,21.05,4436,86,1.35,4.6,51,22889.76,-70488.04,3969,4436
P00232,Beverages,Product 232,Brand E,41.27,23.97,3747,65,4.53,4.0,25,154638.69,64823.1,3665,3747
P00233,Bakery,Product 233,Brand E,21.22,28.68,2367,48,3.63,4.6,14,50227.74,-17657.82,2326,2367
P00234,Bakery,Product 234,Brand C,9.49,10.7,2839,90,2.9,5.0,15,26942.11,-3435.19,1646,2048
P00235,Bakery,Product 235,Brand E,14.81,21.54,5309,48,4.6,3.1,51,78626.29,-35729.57,4922,5309
P00236,Bakery,Product 236,Brand D,45.36,38.02,4431,57,0.79,4.4,97,200990.16,32523.54,4172,4431
P00237,Frozen,Product 237,Brand A,4.62,24.44,5289,34,4.96,4.9,39,24435.18,-104827.98,4933,5289
P00238,Produce,Product 238,Brand D,19.23,34.71,3890,43,0.51,3.0,41,74804.7,-60217.2,3746,3890
